City,Price,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,595000.0,#523 -270 WELLINGTON ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,718000.0,#936 -8 HILLSDALE AVE E,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599000.0,#509 -381 FRONT ST W,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,999900.0,#409 -55 ONTARIO ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5800000.0,#5101 -1 YORKVILLE AVE,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699900.0,#710 -55 ONTARIO ST,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,649000.0,#1906 -460 ADELAIDE ST E,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,439000.0,#506 -85 EMMETT AVE,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,998000.0,114 LEXFIELD AVE,4,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,879000.0,#26 -95 EASTWOOD PARK GDNS,2,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,499000.0,#105 -270 SCARLETT RD,1,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1169000.0,43 ALESSIA CIRC,4,3,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799900.0,#618 -250 MANITOBA ST,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1139000.0,55 BURLINGAME RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,929000.0,48 PAPE AVE,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,859900.0,#404 -160 FALLINGBROOK RD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1080000.0,241 SCARBOROUGH GOLFCLUB RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899000.0,27 VERNON RD,6,4,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,924900.0,#102 -2A QUEENSBURY AVE,2,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1274900.0,93 GLENMOUNT PARK RD,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,699000.0,#2705 -219 FORT YORK BLVD,2,1,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,935000.0,#1405 -1105 LESLIE ST,3,2,Ontario,5647656,43.7417,-79.3733,97000.0
